wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte,ohne Sperrvermerk,"mit Sperrvermerk ""W""",A3,Waehler,DavonMitWahlschein,UngueltigeStimmen,GueltigeStimmen,SPD,CDU,FDP,GR�NE,REP,PDS,NPD,�DP,UAP,WASG,ASAM Parteilos
22.05.2005,Landtagswahl NRW,109,5911000,1201,1123,835,288,0,591,0,3,588,230,185,38,110,1,6,5,1,0,11,1
22.05.2005,Landtagswahl NRW,109,5911000,1202,959,792,167,0,436,1,2,434,216,104,16,60,3,11,7,1,0,15,1
22.05.2005,Landtagswahl NRW,109,5911000,1203,1139,924,215,0,380,1,8,372,177,92,19,46,2,17,5,3,1,10,0
22.05.2005,Landtagswahl NRW,109,5911000,1204,847,682,165,0,352,0,4,348,152,101,15,43,0,12,11,3,2,7,2
22.05.2005,Landtagswahl NRW,109,5911000,1205,838,673,165,0,348,1,5,343,163,100,23,27,0,9,9,1,1,9,1
22.05.2005,Landtagswahl NRW,109,5911000,1206,1006,835,171,0,461,1,5,456,247,97,15,56,3,9,6,2,5,13,3
22.05.2005,Landtagswahl NRW,109,5911000,1207,840,733,107,0,330,0,8,322,163,79,11,44,2,10,8,2,1,2,0
22.05.2005,Landtagswahl NRW,109,5911000,1208,852,717,135,0,377,1,6,371,179,103,13,42,3,9,2,2,0,15,3
22.05.2005,Landtagswahl NRW,109,5911000,1209,705,600,105,0,325,0,1,324,170,73,11,44,2,5,5,1,4,9,0
22.05.2005,Landtagswahl NRW,109,5911000,1210,768,647,121,0,318,0,3,315,170,61,9,40,3,7,6,2,5,11,1
22.05.2005,Landtagswahl NRW,109,5911000,1211,911,785,126,0,379,1,6,373,200,80,14,52,5,5,6,1,0,10,0
22.05.2005,Landtagswahl NRW,109,5911000,1501,736,652,84,0,274,0,0,274,169,50,14,20,0,3,8,0,1,9,0
22.05.2005,Landtagswahl NRW,109,5911000,1502,795,716,79,0,339,1,4,335,191,65,9,24,2,7,15,0,2,13,7
22.05.2005,Landtagswahl NRW,109,5911000,1503,950,850,100,0,393,1,8,385,208,82,11,39,1,7,17,1,3,16,0
22.05.2005,Landtagswahl NRW,109,5911000,1504,827,751,76,0,366,3,2,364,220,72,6,22,2,14,15,1,1,10,1
22.05.2005,Landtagswahl NRW,109,5911000,1505,1012,882,130,0,413,1,5,408,239,74,21,21,5,17,11,3,2,14,1
22.05.2005,Landtagswahl NRW,109,5911000,1506,922,749,173,0,346,0,6,340,182,74,20,31,1,3,10,2,1,14,2
22.05.2005,Landtagswahl NRW,109,5911000,1507,1041,902,139,0,489,0,11,478,285,110,19,23,2,8,13,3,2,13,0
22.05.2005,Landtagswahl NRW,109,5911000,1508,879,765,114,0,524,1,10,514,274,142,14,36,2,8,17,3,4,13,1
22.05.2005,Landtagswahl NRW,109,5911000,1509,831,673,158,0,339,1,3,336,159,111,19,26,3,5,3,1,2,5,2
22.05.2005,Landtagswahl NRW,109,5911000,1510,911,741,170,0,341,0,8,333,171,94,21,17,4,5,8,3,5,4,1
22.05.2005,Landtagswahl NRW,109,5911000,1511,867,731,136,0,371,0,3,368,198,83,11,41,4,8,5,1,5,12,0
22.05.2005,Landtagswahl NRW,109,5911000,1601,1008,872,136,0,535,2,3,532,285,162,21,30,7,6,8,3,0,10,0
22.05.2005,Landtagswahl NRW,109,5911000,1602,859,738,121,0,511,0,3,508,309,113,16,30,3,5,14,3,3,9,3
22.05.2005,Landtagswahl NRW,109,5911000,1603,930,775,155,0,479,1,8,471,296,110,11,15,6,7,5,2,4,15,0
22.05.2005,Landtagswahl NRW,109,5911000,1604,1144,943,201,0,569,0,6,563,334,134,21,20,5,5,19,2,3,17,3
22.05.2005,Landtagswahl NRW,109,5911000,1605,778,652,126,0,279,1,0,279,152,82,11,8,1,8,9,0,1,7,0
22.05.2005,Landtagswahl NRW,109,5911000,1606,826,708,118,0,347,0,3,344,177,82,17,30,3,9,8,4,3,9,2
22.05.2005,Landtagswahl NRW,109,5911000,1607,815,695,120,0,293,0,5,288,153,91,4,14,5,3,11,0,1,5,1
22.05.2005,Landtagswahl NRW,109,5911000,1608,731,647,84,0,341,0,3,338,174,97,9,28,2,11,3,2,0,11,1
22.05.2005,Landtagswahl NRW,109,5911000,1609,530,428,102,0,235,0,3,232,147,49,5,6,2,3,7,1,3,6,3
22.05.2005,Landtagswahl NRW,109,5911000,1801,1169,1012,157,0,542,1,11,531,292,145,22,26,5,10,15,1,7,8,0
22.05.2005,Landtagswahl NRW,109,5911000,1802,983,824,159,0,505,0,7,498,305,132,10,17,5,5,12,0,3,9,0
22.05.2005,Landtagswahl NRW,109,5911000,1803,738,615,123,0,359,0,12,347,249,60,6,11,2,7,5,0,2,5,0
22.05.2005,Landtagswahl NRW,109,5911000,1804,1071,875,196,0,460,2,3,457,253,121,14,17,7,10,17,2,9,7,0
22.05.2005,Landtagswahl NRW,109,5911000,1805,1072,928,144,0,457,1,6,451,242,140,14,16,5,4,13,0,3,11,3
22.05.2005,Landtagswahl NRW,109,5911000,1806,526,445,81,0,239,0,2,237,155,49,7,11,0,3,6,1,1,4,0
22.05.2005,Landtagswahl NRW,109,5911000,1807,762,654,108,0,293,0,2,291,150,75,13,26,4,4,7,1,1,8,2
22.05.2005,Landtagswahl NRW,109,5911000,1808,1108,933,175,0,541,0,4,537,264,163,15,55,3,13,6,0,2,13,3
22.05.2005,Landtagswahl NRW,109,5911000,1809,1021,898,123,0,455,0,10,445,249,119,15,31,4,5,5,0,6,11,0
22.05.2005,Landtagswahl NRW,109,5911000,2101,1141,981,160,0,525,2,9,516,264,171,19,18,5,4,14,1,2,15,3
22.05.2005,Landtagswahl NRW,109,5911000,2102,959,864,95,0,443,0,7,436,210,136,15,26,4,5,22,3,3,10,2
22.05.2005,Landtagswahl NRW,109,5911000,2103,659,582,77,0,280,0,2,278,126,97,10,15,0,4,11,0,5,9,1
22.05.2005,Landtagswahl NRW,109,5911000,2104,688,587,101,0,312,4,5,307,141,88,10,22,5,3,21,1,2,13,1
22.05.2005,Landtagswahl NRW,109,5911000,2105,731,655,76,0,408,0,9,399,212,126,16,7,1,6,8,4,5,12,2
22.05.2005,Landtagswahl NRW,109,5911000,2106,660,561,99,0,354,0,2,352,177,114,12,23,1,5,6,1,2,11,0
22.05.2005,Landtagswahl NRW,109,5911000,2107,646,559,87,0,306,0,5,301,163,81,17,17,1,3,7,1,1,9,1
22.05.2005,Landtagswahl NRW,109,5911000,2108,534,454,80,0,256,0,2,254,108,111,8,6,4,4,4,0,0,8,1
22.05.2005,Landtagswahl NRW,109,5911000,2109,839,788,51,0,420,1,10,410,201,115,15,23,5,11,19,2,2,15,2
22.05.2005,Landtagswahl NRW,109,5911000,2110,695,584,111,0,310,0,4,306,157,101,9,21,3,5,3,0,1,5,1
22.05.2005,Landtagswahl NRW,109,5911000,2201,597,528,69,0,272,1,2,270,130,91,8,19,1,3,11,1,0,6,0
22.05.2005,Landtagswahl NRW,109,5911000,2202,908,779,129,0,408,2,8,400,208,118,10,17,8,5,14,1,2,15,2
22.05.2005,Landtagswahl NRW,109,5911000,2203,883,768,115,0,457,0,9,448,226,159,17,13,1,5,8,2,4,13,0
22.05.2005,Landtagswahl NRW,109,5911000,2204,879,775,104,0,369,0,5,364,187,102,20,19,4,10,11,1,2,8,0
22.05.2005,Landtagswahl NRW,109,5911000,2205,954,785,169,0,355,169,0,355,166,123,15,26,1,3,12,1,1,5,2
22.05.2005,Landtagswahl NRW,109,5911000,2206,897,723,174,0,380,0,10,370,198,110,10,11,3,8,9,0,4,14,3
22.05.2005,Landtagswahl NRW,109,5911000,2207,1002,825,177,0,558,0,3,555,208,257,36,24,3,5,3,3,0,14,2
22.05.2005,Landtagswahl NRW,109,5911000,2208,982,854,128,0,359,0,1,358,184,99,6,22,7,8,12,2,6,12,0
22.05.2005,Landtagswahl NRW,109,5911000,2209,1472,1236,236,0,661,0,13,648,305,231,34,29,9,8,5,3,5,19,0
22.05.2005,Landtagswahl NRW,109,5911000,2210,879,748,131,0,410,0,7,403,212,133,11,10,7,4,6,1,4,15,0
22.05.2005,Landtagswahl NRW,109,5911000,2301,730,668,62,0,292,0,5,287,153,78,10,16,1,3,13,0,2,11,0
22.05.2005,Landtagswahl NRW,109,5911000,2302,886,754,132,0,424,0,2,422,226,132,16,10,4,4,13,0,5,12,0
22.05.2005,Landtagswahl NRW,109,5911000,2303,856,745,111,0,426,0,14,412,228,127,7,18,7,4,10,3,1,7,0
22.05.2005,Landtagswahl NRW,109,5911000,2304,608,559,49,0,240,0,6,234,136,48,12,11,1,3,12,1,2,8,0
22.05.2005,Landtagswahl NRW,109,5911000,2305,822,748,74,0,278,0,2,276,139,82,10,9,5,2,7,2,6,14,0
22.05.2005,Landtagswahl NRW,109,5911000,2306,747,646,101,0,334,0,8,326,154,104,17,24,1,4,7,2,1,10,2
22.05.2005,Landtagswahl NRW,109,5911000,2307,814,730,84,0,403,0,3,400,192,120,23,28,4,5,10,1,6,11,0
22.05.2005,Landtagswahl NRW,109,5911000,2308,803,685,118,0,309,1,5,304,138,92,19,17,2,11,11,2,0,10,2
22.05.2005,Landtagswahl NRW,109,5911000,2309,739,659,80,0,283,0,6,277,145,84,11,12,2,2,7,0,3,10,1
22.05.2005,Landtagswahl NRW,109,5911000,2401,763,685,78,0,423,0,4,419,243,114,20,6,2,2,14,1,2,13,2
22.05.2005,Landtagswahl NRW,109,5911000,2402,1562,1390,172,0,652,0,9,643,322,213,29,33,8,4,12,1,3,17,1
22.05.2005,Landtagswahl NRW,109,5911000,2403,1007,893,114,0,449,1,5,444,234,131,22,19,4,5,20,0,2,7,0
22.05.2005,Landtagswahl NRW,109,5911000,2404,894,773,121,0,392,0,5,387,189,121,15,21,3,4,19,0,6,9,0
22.05.2005,Landtagswahl NRW,109,5911000,2405,524,451,73,0,247,0,2,245,142,59,9,11,4,1,7,1,4,7,0
22.05.2005,Landtagswahl NRW,109,5911000,2406,752,679,73,0,348,0,4,344,167,126,9,4,2,4,12,2,3,12,3
22.05.2005,Landtagswahl NRW,109,5911000,2407,916,830,86,0,373,0,6,367,199,87,16,7,8,7,15,1,3,23,1
22.05.2005,Landtagswahl NRW,109,5911000,2408,1306,1118,188,0,608,0,8,600,286,197,25,34,3,6,21,0,5,20,3
22.05.2005,Landtagswahl NRW,109,5911000,2501,1101,887,214,0,467,15,5,462,217,173,19,17,4,5,8,0,2,13,4
22.05.2005,Landtagswahl NRW,109,5911000,2502,772,637,135,0,387,0,5,382,219,116,11,14,1,1,12,1,1,6,0
22.05.2005,Landtagswahl NRW,109,5911000,2503,767,623,144,0,294,0,2,292,177,67,15,5,5,6,6,0,3,7,1
22.05.2005,Landtagswahl NRW,109,5911000,2504,1024,920,104,0,376,0,10,366,181,133,12,9,2,7,11,1,2,8,0
22.05.2005,Landtagswahl NRW,109,5911000,2505,652,556,96,0,328,2,2,326,148,125,13,15,2,5,8,2,2,6,0
22.05.2005,Landtagswahl NRW,109,5911000,2506,930,774,156,0,557,0,12,545,257,207,23,33,0,8,5,0,1,10,1
22.05.2005,Landtagswahl NRW,109,5911000,2507,816,707,109,0,368,0,8,360,158,144,14,11,9,4,6,1,1,12,0
22.05.2005,Landtagswahl NRW,109,5911000,2508,1099,964,135,0,535,2,7,528,237,192,22,39,4,7,9,1,3,14,0
22.05.2005,Landtagswahl NRW,109,5911000,2509,1024,868,156,0,477,0,4,473,242,147,17,23,4,10,9,2,4,15,0
22.05.2005,Landtagswahl NRW,109,5911000,2510,844,676,168,0,392,1,7,385,219,102,12,21,2,4,15,2,3,5,0
22.05.2005,Landtagswahl NRW,109,5911000,2701,609,502,107,0,280,0,2,278,106,119,8,11,5,7,7,0,4,9,2
22.05.2005,Landtagswahl NRW,109,5911000,2702,913,755,158,0,549,1,7,542,270,170,23,48,1,3,10,2,3,11,1
22.05.2005,Landtagswahl NRW,109,5911000,2703,868,694,174,0,424,2,9,415,217,134,25,26,1,2,5,1,1,3,0
22.05.2005,Landtagswahl NRW,109,5911000,2704,1418,1230,188,0,768,0,13,755,398,252,21,28,4,13,17,4,2,14,2
22.05.2005,Landtagswahl NRW,109,5911000,2705,1277,1115,162,0,618,0,15,603,293,210,26,28,2,6,16,1,5,16,0
22.05.2005,Landtagswahl NRW,109,5911000,2706,1236,1026,210,0,428,0,5,423,165,193,22,21,3,7,4,0,0,8,0
22.05.2005,Landtagswahl NRW,109,5911000,2707,851,670,181,0,458,0,3,455,190,191,24,24,1,7,9,2,1,6,0
22.05.2005,Landtagswahl NRW,109,5911000,2708,1084,865,219,0,578,1,3,575,298,172,33,46,2,1,4,4,4,10,1
22.05.2005,Landtagswahl NRW,109,5911000,9121,0,0,0,0,821,821,5,816,361,303,26,81,1,15,4,1,4,18,2
22.05.2005,Landtagswahl NRW,109,5911000,9122,0,0,0,0,827,827,14,813,369,270,42,91,1,16,5,0,1,16,2
22.05.2005,Landtagswahl NRW,109,5911000,9151,0,0,0,0,639,639,7,632,339,182,19,36,3,8,10,4,4,20,7
22.05.2005,Landtagswahl NRW,109,5911000,9152,0,0,0,0,639,639,9,630,320,196,28,36,4,14,11,3,1,17,0
22.05.2005,Landtagswahl NRW,109,5911000,9161,0,0,0,0,498,498,12,486,255,150,10,20,1,10,9,3,2,25,1
22.05.2005,Landtagswahl NRW,109,5911000,9162,0,0,0,0,598,598,13,585,337,153,19,35,4,8,7,4,1,14,3
22.05.2005,Landtagswahl NRW,109,5911000,9181,0,0,0,0,608,608,11,597,340,172,13,29,9,6,5,3,4,16,0
22.05.2005,Landtagswahl NRW,109,5911000,9182,0,0,0,0,564,564,6,558,287,185,18,30,1,8,8,0,1,17,3
22.05.2005,Landtagswahl NRW,109,5911000,9211,0,0,0,0,866,866,14,852,405,279,44,38,7,19,15,2,2,37,4
22.05.2005,Landtagswahl NRW,109,5911000,9221,0,0,0,0,688,688,7,681,311,269,35,25,0,2,4,0,6,28,1
22.05.2005,Landtagswahl NRW,109,5911000,9222,0,0,0,0,668,668,6,662,296,255,32,32,2,7,11,4,4,18,1
22.05.2005,Landtagswahl NRW,109,5911000,9231,0,0,0,0,768,768,16,752,337,274,46,35,3,7,11,2,7,30,0
22.05.2005,Landtagswahl NRW,109,5911000,9241,0,0,0,0,843,843,13,830,388,307,28,42,5,8,10,1,16,23,2
22.05.2005,Landtagswahl NRW,109,5911000,9251,0,0,0,0,749,749,5,744,366,266,33,30,2,8,7,2,5,24,1
22.05.2005,Landtagswahl NRW,109,5911000,9252,0,0,0,0,570,570,4,566,278,169,32,32,6,1,10,2,8,26,2
22.05.2005,Landtagswahl NRW,109,5911000,9271,0,0,0,0,654,654,11,643,282,249,33,26,5,6,8,1,0,30,3
22.05.2005,Landtagswahl NRW,109,5911000,9272,0,0,0,0,672,672,10,662,300,243,31,44,3,6,18,0,1,16,0
