wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte,Ohne Sperrvermerk,Mit Sperrvermerk,Nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,CDU,CDU,SPD,SPD,GR�NE,GR�NE,FDP,FDP,DIE LINKE,DIE LINKE,PIRATEN,PIRATEN,pro NRW,pro NRW,NPD,NPD,Tierschutzpartei,Tierschutzpartei,FAMILIE,FAMILIE,BIG,BIG,Die PARTEI,Die PARTEI,�DP,�DP,FBI/Freie W�hler,FBI/Freie W�hler,AUF,AUF,FREIE W�HLER,FREIE W�HLER,Partei der Vernunft,Partei der Vernunft
13.05.2012,Landtagswahl NRW,108,5911000,1301,712,619,93,0,374,0,7,8,367,366,57,50,181,132,58,84,17,27,22,22,32,32,,6,,1,,2,,3,,2,,1,,1,,0,,0,,2,,1
13.05.2012,Landtagswahl NRW,108,5911000,1302,834,689,145,0,488,3,7,4,481,484,64,51,241,172,89,142,15,31,26,27,46,45,,7,,1,,3,,0,,0,,2,,0,,1,,0,,1,,1
13.05.2012,Landtagswahl NRW,108,5911000,1303,791,629,162,0,493,2,3,1,490,492,126,94,228,153,72,130,30,59,10,14,24,26,,7,,0,,4,,1,,0,,2,,0,,1,,0,,1,,0
13.05.2012,Landtagswahl NRW,108,5911000,1304,888,731,157,0,434,0,8,7,426,427,41,37,208,151,78,118,10,20,30,25,59,57,,4,,0,,4,,0,,4,,5,,0,,0,,2,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,1305,752,628,124,0,397,4,6,2,391,395,69,60,203,161,63,98,7,16,20,19,29,28,,3,,2,,2,,0,,1,,2,,1,,1,,0,,1,,0
13.05.2012,Landtagswahl NRW,108,5911000,1306,694,544,150,0,353,1,3,2,350,351,68,59,191,140,52,89,2,12,9,12,28,31,,4,,1,,0,,0,,0,,1,,0,,0,,0,,1,,1
13.05.2012,Landtagswahl NRW,108,5911000,1307,776,617,159,0,440,0,5,5,435,435,100,72,227,160,50,102,19,49,14,17,25,19,,1,,2,,4,,1,,0,,4,,0,,2,,0,,2,,0
13.05.2012,Landtagswahl NRW,108,5911000,1308,756,586,170,0,414,2,2,1,412,413,80,69,200,145,63,98,16,30,21,20,32,36,,5,,0,,1,,1,,1,,0,,3,,0,,2,,2,,0
13.05.2012,Landtagswahl NRW,108,5911000,1309,913,737,176,0,365,1,7,3,358,362,45,44,212,161,50,84,3,11,18,19,30,32,,1,,2,,1,,1,,1,,2,,0,,0,,0,,3,,0
13.05.2012,Landtagswahl NRW,108,5911000,1310,846,693,153,0,374,2,6,6,368,368,69,55,197,146,54,93,11,26,13,15,24,22,,2,,0,,3,,0,,0,,2,,3,,0,,1,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,2601,866,708,158,0,407,0,6,4,401,403,92,75,228,202,32,41,16,36,7,10,26,24,,6,,3,,4,,1,,0,,1,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,2602,649,549,100,0,338,1,6,8,332,330,55,44,210,196,22,22,4,8,12,11,29,36,,6,,4,,1,,1,,1,,0,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,2603,817,658,159,0,383,2,3,3,380,380,57,52,242,219,24,37,5,9,19,16,33,29,,7,,1,,3,,1,,1,,1,,0,,1,,1,,1,,1
13.05.2012,Landtagswahl NRW,108,5911000,2604,975,750,225,0,507,1,2,2,505,505,143,121,258,221,43,65,17,44,9,12,35,31,,3,,3,,0,,0,,0,,3,,0,,0,,0,,2,,0
13.05.2012,Landtagswahl NRW,108,5911000,2605,1157,878,279,0,562,0,6,6,556,556,151,131,283,250,33,49,23,46,12,12,54,50,,7,,4,,3,,1,,0,,1,,0,,1,,0,,1,,0
13.05.2012,Landtagswahl NRW,108,5911000,2606,1059,907,152,0,505,2,9,8,496,497,110,87,264,231,45,54,13,29,13,11,51,58,,8,,8,,7,,2,,0,,0,,0,,2,,0,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,2607,674,513,161,0,298,0,1,0,297,298,76,61,138,112,35,45,17,32,2,3,29,31,,7,,0,,3,,1,,0,,0,,0,,1,,0,,2,,0
13.05.2012,Landtagswahl NRW,108,5911000,2608,524,423,101,0,240,0,4,4,236,236,35,34,139,124,12,18,8,10,7,6,35,28,,3,,4,,4,,1,,0,,2,,0,,0,,0,,2,,0
13.05.2012,Landtagswahl NRW,108,5911000,2609,798,638,160,0,423,1,5,4,418,419,100,79,216,195,35,48,17,26,11,11,39,41,,8,,1,,6,,2,,0,,1,,0,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,108,5911000,2610,663,527,136,0,331,0,4,5,327,326,104,80,167,139,21,39,10,28,7,9,18,18,,4,,3,,4,,0,,1,,0,,0,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,108,5911000,2611,1004,789,215,0,533,2,9,9,524,524,173,143,235,211,44,58,31,48,10,13,31,33,,10,,2,,0,,2,,0,,1,,0,,2,,0,,1,,0
13.05.2012,Landtagswahl NRW,108,5911000,5101,1190,886,304,0,561,1,12,8,549,553,104,79,286,217,80,124,18,49,31,31,30,37,,5,,2,,2,,2,,0,,3,,0,,1,,0,,1,,0
13.05.2012,Landtagswahl NRW,108,5911000,5102,1250,946,304,0,562,2,11,10,551,552,120,88,297,228,57,103,17,43,19,23,41,45,,10,,0,,1,,1,,3,,3,,2,,0,,1,,1,,0
13.05.2012,Landtagswahl NRW,108,5911000,5103,548,468,80,0,262,1,4,1,258,261,55,43,137,114,30,57,7,12,9,6,20,15,,6,,2,,0,,0,,1,,2,,0,,0,,0,,3,,0
13.05.2012,Landtagswahl NRW,108,5911000,5104,994,754,240,0,474,0,4,4,470,470,81,69,261,182,71,125,5,20,16,17,36,41,,7,,2,,3,,0,,1,,1,,0,,1,,0,,1,,0
13.05.2012,Landtagswahl NRW,108,5911000,5105,1329,1080,249,0,575,1,10,6,565,569,120,96,309,257,43,89,8,28,31,29,54,41,,15,,2,,7,,1,,0,,2,,0,,0,,1,,0,,1
13.05.2012,Landtagswahl NRW,108,5911000,5106,914,710,204,0,424,6,6,6,418,418,61,58,241,203,44,62,12,17,18,17,42,39,,7,,2,,3,,5,,0,,1,,0,,1,,1,,2,,0
13.05.2012,Landtagswahl NRW,108,5911000,5107,884,717,167,0,411,0,3,3,408,408,86,80,212,158,39,67,16,32,21,18,34,28,,12,,3,,2,,3,,0,,3,,0,,2,,0,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,5108,1077,859,218,0,521,2,8,5,513,516,118,90,242,224,64,68,26,46,21,23,42,47,,4,,2,,2,,6,,1,,2,,1,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,5109,966,808,158,0,541,1,10,6,531,535,122,105,298,236,52,100,14,36,13,12,32,35,,3,,1,,2,,0,,0,,2,,1,,0,,0,,0,,2
13.05.2012,Landtagswahl NRW,108,5911000,5110,1205,990,215,0,567,0,4,3,563,564,93,77,337,282,53,90,28,39,21,18,31,35,,6,,6,,3,,0,,0,,5,,0,,1,,0,,1,,1
13.05.2012,Landtagswahl NRW,108,5911000,5201,702,519,183,0,363,1,7,1,356,362,81,75,202,149,32,69,11,27,9,9,21,22,,1,,2,,4,,1,,2,,0,,1,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,5202,760,540,220,0,328,1,8,6,320,322,64,57,160,132,43,63,12,20,14,10,27,25,,3,,2,,4,,2,,0,,0,,1,,1,,0,,0,,2
13.05.2012,Landtagswahl NRW,108,5911000,5203,1324,1068,256,0,576,2,6,5,570,571,110,93,310,266,49,80,29,39,19,19,53,41,,12,,4,,3,,4,,1,,2,,1,,1,,1,,1,,3
13.05.2012,Landtagswahl NRW,108,5911000,5204,798,678,120,0,473,1,10,9,463,464,120,92,250,222,43,65,4,23,13,12,33,35,,6,,2,,3,,3,,0,,1,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,5205,920,753,167,0,387,0,9,6,378,381,83,66,196,164,30,54,15,26,25,27,29,26,,10,,3,,2,,1,,1,,1,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,5206,778,688,90,0,305,0,6,6,299,299,66,62,141,110,23,42,11,11,21,21,37,44,,4,,1,,1,,0,,1,,0,,0,,2,,0,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,5207,842,744,98,0,334,0,6,5,328,329,83,69,166,133,31,58,10,21,22,19,16,17,,7,,0,,1,,2,,0,,0,,0,,1,,1,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,5208,621,473,148,0,369,0,8,6,361,363,98,62,169,133,44,70,21,56,10,10,19,22,,0,,0,,1,,1,,0,,2,,2,,1,,2,,1,,0
13.05.2012,Landtagswahl NRW,108,5911000,5209,1214,1012,202,0,408,0,14,14,394,394,54,41,220,165,42,71,7,14,30,37,41,52,,5,,3,,2,,3,,0,,1,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,5210,1135,898,237,0,543,2,7,6,536,537,90,76,266,181,86,132,18,45,25,25,51,63,,2,,0,,3,,0,,4,,4,,1,,0,,1,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,5301,736,625,111,0,352,4,4,4,348,348,53,42,172,140,55,79,9,18,24,25,35,33,,3,,2,,1,,2,,0,,2,,0,,0,,1,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,5302,1045,841,204,0,512,1,12,6,500,506,105,87,229,187,65,84,25,46,37,41,39,37,,8,,2,,3,,1,,3,,2,,4,,1,,0,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,5303,1460,1250,210,0,600,2,11,9,589,591,68,47,274,208,94,137,19,36,75,72,59,60,,5,,1,,6,,4,,7,,4,,2,,0,,2,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,5304,1149,1038,111,0,543,1,25,17,518,526,56,49,244,205,63,93,19,19,77,76,59,58,,5,,3,,1,,4,,4,,5,,1,,2,,1,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,5305,1230,1009,221,0,638,5,12,9,626,629,124,106,286,233,108,139,25,53,35,31,48,52,,5,,1,,4,,2,,0,,0,,0,,0,,0,,3,,0
13.05.2012,Landtagswahl NRW,108,5911000,5306,1039,902,137,0,420,4,7,2,413,418,72,62,186,157,38,51,23,37,45,54,49,41,,8,,1,,4,,1,,0,,2,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,5401,889,670,219,0,458,5,4,4,454,454,126,103,233,188,45,68,19,49,5,10,26,20,,5,,5,,4,,0,,0,,2,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,5402,1410,1032,378,0,692,2,5,5,687,687,176,134,325,260,64,102,53,101,20,20,49,46,,4,,2,,8,,2,,0,,0,,6,,1,,0,,1,,0
13.05.2012,Landtagswahl NRW,108,5911000,5403,1343,1026,317,0,671,2,4,4,667,667,192,141,335,255,44,90,52,104,5,9,39,50,,7,,1,,4,,1,,0,,2,,1,,0,,0,,2,,0
13.05.2012,Landtagswahl NRW,108,5911000,5404,1235,982,253,0,670,0,9,4,661,666,197,158,324,257,66,105,33,81,3,8,38,39,,7,,2,,5,,2,,0,,2,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,5405,1205,890,315,0,638,4,5,4,633,634,195,142,301,245,56,98,35,81,12,11,34,39,,8,,2,,4,,0,,0,,1,,1,,1,,0,,0,,1
13.05.2012,Landtagswahl NRW,108,5911000,5406,991,757,234,0,524,1,5,2,519,522,153,113,261,229,37,63,24,58,11,11,33,30,,8,,3,,2,,1,,0,,0,,1,,1,,2,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,5407,931,674,257,0,465,1,6,7,459,458,124,99,221,175,34,60,32,61,13,12,35,37,,8,,1,,0,,0,,0,,1,,0,,2,,0,,2,,0
13.05.2012,Landtagswahl NRW,108,5911000,5408,608,454,154,0,291,0,1,1,290,290,81,59,135,98,33,61,22,51,8,6,11,7,,5,,0,,0,,0,,0,,0,,0,,0,,0,,2,,1
13.05.2012,Landtagswahl NRW,108,5911000,5409,850,629,221,0,388,1,7,11,381,377,122,90,190,160,28,49,19,48,4,5,18,16,,3,,1,,2,,1,,0,,2,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,5410,1257,944,313,0,617,1,3,6,614,611,179,149,290,218,52,105,33,63,12,13,48,45,,7,,3,,2,,1,,0,,3,,0,,0,,0,,2,,0
13.05.2012,Landtagswahl NRW,108,5911000,6101,835,680,155,0,335,1,3,3,332,332,55,43,169,137,38,52,15,27,23,23,32,34,,2,,3,,3,,2,,0,,3,,0,,0,,2,,0,,1
13.05.2012,Landtagswahl NRW,108,5911000,6102,761,654,107,0,322,1,5,8,317,314,46,41,177,144,33,47,10,12,16,16,35,38,,5,,1,,3,,1,,1,,2,,0,,1,,0,,2,,0
13.05.2012,Landtagswahl NRW,108,5911000,6103,795,715,80,0,341,0,7,7,334,334,52,44,191,161,37,49,7,13,14,18,33,25,,5,,4,,3,,3,,2,,3,,2,,0,,0,,2,,0
13.05.2012,Landtagswahl NRW,108,5911000,6104,670,569,101,0,278,0,2,1,276,277,54,49,151,128,23,24,8,14,18,16,22,24,,6,,2,,3,,1,,7,,3,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,108,5911000,6105,893,764,129,0,442,1,1,1,441,441,71,59,298,266,22,44,11,16,11,14,28,28,,3,,1,,4,,1,,2,,1,,0,,1,,0,,1,,0
13.05.2012,Landtagswahl NRW,108,5911000,6106,928,796,132,0,367,0,7,0,360,367,29,24,221,196,38,52,9,11,23,22,40,36,,7,,4,,4,,3,,0,,2,,1,,0,,1,,2,,2
13.05.2012,Landtagswahl NRW,108,5911000,6107,949,799,150,0,430,1,17,18,413,412,57,49,270,251,27,25,6,15,14,15,39,35,,5,,2,,6,,1,,7,,0,,0,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,108,5911000,6108,1047,782,265,0,511,3,4,5,507,506,132,107,240,195,56,96,27,52,22,15,30,27,,9,,0,,1,,2,,0,,2,,0,,0,,0,,0,,0
